epoch,batch,train_loss,train_accuracy
20,976,1.0549228,0.55
20,977,0.9079425,0.45
20,978,1.0077639,0.7
20,979,0.89223176,0.6
20,980,0.92615,0.6
20,981,0.9471089,0.6
20,982,0.7305435,0.65
20,983,0.98410237,0.6
20,984,1.2776197,0.55
20,985,0.9377329,0.7
20,986,1.1223059,0.65
20,987,1.0336797,0.45
20,988,1.1323313,0.45
20,989,1.318758,0.4
20,990,1.1950428,0.55
20,991,0.9069122,0.75
20,992,0.5466735,0.9
20,993,1.028582,0.6
20,994,1.018923,0.65
20,995,1.0638844,0.55
20,996,1.0769169,0.65
20,997,0.80763656,0.75
20,998,0.82813895,0.65
20,999,0.7429887,0.7
